-*- mode: compilation; default-directory: "~/Development/Bachelor-Thesis/code/" -*-
Compilation started at Thu Feb 11 16:49:05

python dyson_conv.py
Step	G[n-1]	G[n]	Difference
0 	 0.0 	 0.5 	 0.5
1 	 0.5 	 0.625 	 0.125
2 	 0.625 	 0.6953125 	 0.0703125
3 	 0.6953125 	 0.741729736328125 	 0.046417236328125
4 	 0.741729736328125 	 0.7750815008766949 	 0.03335176454856992
5 	 0.7750815008766949 	 0.800375666500635 	 0.025294165623940046
6 	 0.800375666500635 	 0.8203006037631678 	 0.01992493726253286
7 	 0.8203006037631678 	 0.8364465402671089 	 0.016145936503941027
8 	 0.8364465402671089 	 0.8498214073624081 	 0.013374867095299225
9 	 0.8498214073624081 	 0.861098212205712 	 0.011276804843303956
10 	 0.861098212205712 	 0.8707450655319368 	 0.009646853326224725
11 	 0.8707450655319368 	 0.8790984845741084 	 0.008353419042171684
12 	 0.8790984845741084 	 0.886407072790247 	 0.007308588216138556
13 	 0.886407072790247 	 0.8928587493462872 	 0.006451676556040176
14 	 0.8928587493462872 	 0.8985983731421081 	 0.005739623795820936
15 	 0.8985983731421081 	 0.9037395181068217 	 0.005141144964713629
16 	 0.9037395181068217 	 0.9083725582939752 	 0.004633040187153492
17 	 0.9083725582939752 	 0.9125703523307707 	 0.0041977940367954325
18 	 0.9125703523307707 	 0.9163923239765535 	 0.0038219716457827957
19 	 0.9163923239765535 	 0.9198874457215742 	 0.0034951217450207572
20 	 0.9198874457215742 	 0.923096456398081 	 0.003209010676506807
21 	 0.923096456398081 	 0.9260535339073471 	 0.002957077509266104
22 	 0.9260535339073471 	 0.9287875738311431 	 0.00273403992379595
23 	 0.9287875738311431 	 0.9313231786515705 	 0.002535604820427473
24 	 0.9313231786515705 	 0.9336814315468326 	 0.0023582528952620363
25 	 0.9336814315468326 	 0.9358805078076713 	 0.002199076260838706
26 	 0.9358805078076713 	 0.9379361624471723 	 0.00205565463950097
27 	 0.9379361624471723 	 0.9398621224130641 	 0.0019259599658918436
28 	 0.9398621224130641 	 0.9416704045733948 	 0.0018082821603306876
29 	 0.9416704045733948 	 0.9433715754247105 	 0.0017011708513157142
30 	 0.9433715754247105 	 0.9449749646596501 	 0.001603389234939634
31 	 0.9449749646596501 	 0.9464888419167535 	 0.001513877257103391
32 	 0.9464888419167535 	 0.9479205639364586 	 0.001431722019705095
33 	 0.9479205639364586 	 0.9492766977668069 	 0.0013561338303482717
34 	 0.9492766977668069 	 0.9505631244615268 	 0.0012864266947199
35 	 0.9505631244615268 	 0.9517851267930301 	 0.001222002331503269
36 	 0.9517851267930301 	 0.9529474637922122 	 0.001162336999182112
37 	 0.9529474637922122 	 0.9540544343740047 	 0.0011069705817925435
38 	 0.9540544343740047 	 0.955109931874351 	 0.0010554975003462808
39 	 0.955109931874351 	 0.9561174909825136 	 0.0010075591081626367
40 	 0.9561174909825136 	 0.9570803282813485 	 0.0009628372988348399
41 	 0.9570803282813485 	 0.9580013773915669 	 0.0009210491102183971
42 	 0.9580013773915669 	 0.9588833195420696 	 0.0008819421505027458
43 	 0.9588833195420696 	 0.9597286102480094 	 0.0008452907059397496
44 	 0.9597286102480094 	 0.9605395026642878 	 0.0008108924162784081
45 	 0.9605395026642878 	 0.9613180680892787 	 0.0007785654249908847
46 	 0.9613180680892787 	 0.9620662140174515 	 0.0007481459281728498
47 	 0.9620662140174515 	 0.9627857000769364 	 0.0007194860594849084
48 	 0.9627857000769364 	 0.9634781521363183 	 0.0006924520593818428
49 	 0.9634781521363183 	 0.9641450748220073 	 0.0006669226856890198
findfont: Font family ['serif'] not found. Falling back to DejaVu Sans.

Compilation finished at Thu Feb 11 16:49:15
