Compilation started at Thu Feb 11 17:41:28
python dyson_conv.py

t = 1 	 g = 0.1
Step	G[n-1]	G[n]	Difference
0 	 6.91950766666516e-310 	 0.1 	 0.1
1 	 0.1 	 0.101 	 0.0010000000000000009
2 	 0.101 	 0.1010201 	 2.0099999999995122e-05
3 	 0.1010201 	 0.101020506060401 	 4.0606040099810947e-07
4 	 0.101020506060401 	 0.10102051426446995 	 8.204068951966903e-09
5 	 0.10102051426446995 	 0.1010205144302258 	 1.6575585348732602e-10
6 	 0.1010205144302258 	 0.10102051443357475 	 3.3489461204183613e-12
7 	 0.10102051443357475 	 0.10102051443364242 	 6.766809335090329e-14
8 	 0.10102051443364242 	 0.10102051443364378 	 1.3600232051658168e-15
9 	 0.10102051443364378 	 0.10102051443364381 	 2.7755575615628914e-17
10 	 0.10102051443364381 	 0.10102051443364381 	 0.0
11 	 0.10102051443364381 	 0.10102051443364381 	 0.0
12 	 0.10102051443364381 	 0.10102051443364381 	 0.0
13 	 0.10102051443364381 	 0.10102051443364381 	 0.0
14 	 0.10102051443364381 	 0.10102051443364381 	 0.0
15 	 0.10102051443364381 	 0.10102051443364381 	 0.0
16 	 0.10102051443364381 	 0.10102051443364381 	 0.0
17 	 0.10102051443364381 	 0.10102051443364381 	 0.0
18 	 0.10102051443364381 	 0.10102051443364381 	 0.0
19 	 0.10102051443364381 	 0.10102051443364381 	 0.0
20 	 0.10102051443364381 	 0.10102051443364381 	 0.0
21 	 0.10102051443364381 	 0.10102051443364381 	 0.0
22 	 0.10102051443364381 	 0.10102051443364381 	 0.0
23 	 0.10102051443364381 	 0.10102051443364381 	 0.0
24 	 0.10102051443364381 	 0.10102051443364381 	 0.0
25 	 0.10102051443364381 	 0.10102051443364381 	 0.0
26 	 0.10102051443364381 	 0.10102051443364381 	 0.0
27 	 0.10102051443364381 	 0.10102051443364381 	 0.0
28 	 0.10102051443364381 	 0.10102051443364381 	 0.0
29 	 0.10102051443364381 	 0.10102051443364381 	 0.0
30 	 0.10102051443364381 	 0.10102051443364381 	 0.0
31 	 0.10102051443364381 	 0.10102051443364381 	 0.0
32 	 0.10102051443364381 	 0.10102051443364381 	 0.0
33 	 0.10102051443364381 	 0.10102051443364381 	 0.0
34 	 0.10102051443364381 	 0.10102051443364381 	 0.0
35 	 0.10102051443364381 	 0.10102051443364381 	 0.0
36 	 0.10102051443364381 	 0.10102051443364381 	 0.0
37 	 0.10102051443364381 	 0.10102051443364381 	 0.0
38 	 0.10102051443364381 	 0.10102051443364381 	 0.0
39 	 0.10102051443364381 	 0.10102051443364381 	 0.0
40 	 0.10102051443364381 	 0.10102051443364381 	 0.0
41 	 0.10102051443364381 	 0.10102051443364381 	 0.0
42 	 0.10102051443364381 	 0.10102051443364381 	 0.0
43 	 0.10102051443364381 	 0.10102051443364381 	 0.0
44 	 0.10102051443364381 	 0.10102051443364381 	 0.0
45 	 0.10102051443364381 	 0.10102051443364381 	 0.0
46 	 0.10102051443364381 	 0.10102051443364381 	 0.0
47 	 0.10102051443364381 	 0.10102051443364381 	 0.0
48 	 0.10102051443364381 	 0.10102051443364381 	 0.0
49 	 0.10102051443364381 	 0.10102051443364381 	 0.0

t = 1 	 g = 0.3
Step	G[n-1]	G[n]	Difference
0 	 6.9195090493462e-310 	 0.3 	 0.3
1 	 0.3 	 0.327 	 0.027000000000000024
2 	 0.327 	 0.3320787 	 0.0050786999999999916
3 	 0.3320787 	 0.333082878898107 	 0.001004178898107
4 	 0.333082878898107 	 0.3332832612645153 	 0.00020038236640829155
5 	 0.3332832612645153 	 0.33332331967173334 	 4.005840721804654e-05
6 	 0.33332331967173334 	 0.3333313306310953 	 8.010959361981485e-06
7 	 0.3333313306310953 	 0.333332932794089 	 1.6021629936635584e-06
8 	 0.333332932794089 	 0.3333332532255326 	 3.204314436011657e-07
9 	 0.3333332532255326 	 0.33333331731177507 	 6.408624247944417e-08
10 	 0.33333331731177507 	 0.3333333301290217 	 1.2817246652918612e-08
11 	 0.3333333301290217 	 0.333333332692471 	 2.5634492861748015e-09
12 	 0.333333332692471 	 0.33333333320516084 	 5.126898350304998e-10
13 	 0.33333333320516084 	 0.3333333333076988 	 1.0253797810833021e-10
14 	 0.3333333333076988 	 0.3333333333282064 	 2.050759562166604e-11
15 	 0.3333333333282064 	 0.33333333333230797 	 4.101552431023947e-12
16 	 0.33333333333230797 	 0.33333333333312826 	 8.202882817442969e-13
17 	 0.33333333333312826 	 0.3333333333332923 	 1.6403545188836688e-13
18 	 0.3333333333332923 	 0.3333333333333251 	 3.2807090377673376e-14
19 	 0.3333333333333251 	 0.3333333333333317 	 6.6058269965196814e-15
20 	 0.3333333333333317 	 0.333333333333333 	 1.27675647831893e-15
21 	 0.333333333333333 	 0.33333333333333326 	 2.7755575615628914e-16
22 	 0.33333333333333326 	 0.3333333333333333 	 5.551115123125783e-17
23 	 0.3333333333333333 	 0.3333333333333333 	 0.0
24 	 0.3333333333333333 	 0.3333333333333333 	 0.0
25 	 0.3333333333333333 	 0.3333333333333333 	 0.0
26 	 0.3333333333333333 	 0.3333333333333333 	 0.0
27 	 0.3333333333333333 	 0.3333333333333333 	 0.0
28 	 0.3333333333333333 	 0.3333333333333333 	 0.0
29 	 0.3333333333333333 	 0.3333333333333333 	 0.0
30 	 0.3333333333333333 	 0.3333333333333333 	 0.0
31 	 0.3333333333333333 	 0.3333333333333333 	 0.0
